Nth day,Average engagement time
RequestFormConfirmation,18
TimecardSingleWeekSummaryPage,18
AvailabilityRequestChangePage,14
RequestFormSubmission,10
UIPrintOptionsTableViewController,10
UIPrintPanelViewController,10
ViewMyCurrentAvailabilityPage,10
BadgeApplet,9
ShiftOfferAndClaimSummaryPage,9
ContactInformationAnalytics,7
UIActivityViewController,7
AvailabilityRequestDetailsPage,6
NotificationsPage,6
FeedbackPage,5
CallOutFormPage,3
